"SchemaField('geo_id', 'STRING', 'NULLABLE', None, None, (), None)","SchemaField('census_tract', 'STRING', 'NULLABLE', None, None, (), None)","SchemaField('tract_geom', 'GEOGRAPHY', 'NULLABLE', None, None, (), None)","SchemaField('average_donation', 'FLOAT', 'NULLABLE', None, None, (), None)","SchemaField('median_income', 'FLOAT', 'NULLABLE', None, None, (), None)"
36047017000,017000,"POLYGON((-74.016236 40.607233, -74.015499 40.606842, -74.014695 40.606424, -74.013023 40.60803, -74.011278 40.609706, -74.009511 40.611406, -74.008884 40.612007, -74.008304 40.612568, -74.010504 40.613897, -74.011086 40.613339, -74.011712 40.612735, -74.013482 40.611038, -74.015224 40.609357, -74.017019 40.607655, -74.016236 40.607233))",490753.0,79526.0
36047014000,014000,"POLYGON((-74.022876 40.619466, -74.022004 40.618938, -74.021216 40.618472, -74.020526 40.618058, -74.019894 40.618657, -74.019313 40.619217, -74.018733 40.619777, -74.018152 40.620336, -74.01757 40.620899, -74.016987 40.621454, -74.016406 40.622014, -74.019075 40.623615, -74.019252 40.623206, -74.019387 40.622892, -74.019444 40.622764, -74.019705 40.622185, -74.020252 40.622427, -74.020686 40.621835, -74.021178 40.621252, -74.021615 40.620798, -74.021729 40.620679, -74.021802 40.620602, -74.022269 40.620109, -74.022933 40.619502, -74.022876 40.619466))",490753.0,72083.0
36047107800,107800,"POLYGON((-73.884653 40.653451, -73.884163 40.653661, -73.882213 40.654498, -73.880591 40.655196, -73.879733 40.655563, -73.878956 40.655898, -73.878117 40.65626, -73.876107 40.657125, -73.874897 40.657646, -73.874069 40.658006, -73.873251 40.658357, -73.872427 40.658709, -73.871619 40.65906, -73.870791 40.659415, -73.869981 40.659764, -73.869156 40.660119, -73.868235 40.660327, -73.867181 40.660452, -73.868163 40.661727, -73.868367 40.662015, -73.869485 40.663546, -73.870376 40.66321, -73.871193 40.662854, -73.872007 40.662513, -73.872835 40.662162, -73.873652 40.661809, -73.87447 40.661459, -73.875285 40.661107, -73.876101 40.660757, -73.876909 40.660402, -73.877733 40.660052, -73.878213 40.659855, -73.878592 40.659701, -73.879373 40.659364, -73.88019 40.659011, -73.881002 40.658664, -73.881826 40.658308, -73.880813 40.656945, -73.881626 40.65659, -73.882511 40.656213, -73.885681 40.65485, -73.884653 40.653451))",425793.0,61360.0
36047117201,117201,"POLYGON((-73.889406 40.680142, -73.889006 40.678557, -73.888156 40.678828, -73.887304 40.679097, -73.886438 40.679373, -73.885555 40.679657, -73.884671 40.67994, -73.884893 40.680811, -73.885815 40.680674, -73.886275 40.682481, -73.886303 40.682589, -73.886505 40.683349, -73.887354 40.68295, -73.888191 40.682556, -73.888927 40.682202, -73.889009 40.682166, -73.889774 40.681801, -73.889406 40.680142))",425793.0,61071.0
36047111600,111600,"POLYGON((-73.881856 40.66415, -73.880961 40.662928, -73.880892 40.662834, -73.88081 40.662722, -73.880752 40.662641, -73.879683 40.66117, -73.878592 40.659701, -73.878213 40.659855, -73.877733 40.660052, -73.876909 40.660402, -73.876101 40.660757, -73.875285 40.661107, -73.87447 40.661459, -73.873652 40.661809, -73.872835 40.662162, -73.872007 40.662513, -73.871193 40.662854, -73.870376 40.66321, -73.869485 40.663546, -73.870617 40.665095, -73.871699 40.666532, -73.871782 40.666641, -73.871875 40.666764, -73.871945 40.666856, -73.872841 40.668032, -73.873688 40.667665, -73.874503 40.667314, -73.87532 40.666962, -73.876137 40.666612, -73.876953 40.666259, -73.877771 40.665908, -73.878586 40.665554, -73.879406 40.665202, -73.880222 40.664857, -73.881036 40.664504, -73.881856 40.66415))",425793.0,51512.0
36047115000,115000,"POLYGON((-73.888838 40.674251, -73.888515 40.672983, -73.888192 40.671715, -73.887289 40.671848, -73.886403 40.671981, -73.885517 40.672113, -73.884703 40.672234, -73.883889 40.672355, -73.883944 40.672571, -73.884214 40.673621, -73.884537 40.674889, -73.884854 40.676129, -73.885074 40.676096, -73.885668 40.676009, -73.886482 40.675888, -73.887371 40.675756, -73.888256 40.675625, -73.889151 40.675496, -73.888838 40.674251))",425793.0,40703.0
36047116200,116200,"POLYGON((-73.886968 40.670595, -73.886574 40.669058, -73.886183 40.667521, -73.885297 40.667653, -73.884411 40.667785, -73.883597 40.667905, -73.882782 40.668026, -73.882832 40.668222, -73.883134 40.669404, -73.883175 40.669563, -73.883237 40.669809, -73.883519 40.670915, -73.883566 40.6711, -73.883603 40.671244, -73.883889 40.672355, -73.884703 40.672234, -73.885517 40.672113, -73.886403 40.671981, -73.887289 40.671848, -73.886968 40.670595))",425793.0,39651.0
36047112000,112000,"POLYGON((-73.883199 40.666376, -73.883152 40.666181, -73.883309 40.666112, -73.881856 40.66415, -73.881036 40.664504, -73.880222 40.664857, -73.879406 40.665202, -73.878586 40.665554, -73.877771 40.665908, -73.876953 40.666259, -73.878378 40.668234, -73.878489 40.668655, -73.879411 40.668522, -73.880314 40.668392, -73.881153 40.668268, -73.881968 40.668147, -73.882782 40.668026, -73.883597 40.667905, -73.883199 40.666376))",425793.0,31563.0
36047117000,117000,"POLYGON((-73.888593 40.676956, -73.888256 40.675625, -73.887371 40.675756, -73.886482 40.675888, -73.885668 40.676009, -73.885074 40.676096, -73.884854 40.676129, -73.88404 40.67625, -73.883226 40.67637, -73.883701 40.67823, -73.884195 40.678089, -73.884671 40.67994, -73.885555 40.679657, -73.886438 40.679373, -73.887304 40.679097, -73.888156 40.678828, -73.889006 40.678557, -73.888593 40.676956))",425793.0,41354.0
36047018800,018800,"POLYGON((-74.006434 40.617814, -74.004234 40.616482, -74.002031 40.615153, -74.001449 40.615711, -74.000192 40.614951, -73.999944 40.615782, -73.999709 40.616621, -73.999488 40.617405, -73.99962 40.617471, -74.001818 40.618806, -74.004019 40.620136, -74.004599 40.619577, -74.005227 40.618973, -74.005854 40.618371, -74.006434 40.617814))",1454085.0,73889.0
36047027400,027400,"POLYGON((-73.998313 40.611084, -73.996338 40.609894, -73.996922 40.609335, -73.994719 40.608005, -73.994137 40.608564, -73.993557 40.609123, -73.992975 40.609683, -73.992394 40.610241, -73.994597 40.611571, -73.994179 40.61197, -73.993968 40.612173, -73.993343 40.612772, -73.99537 40.613996, -73.995983 40.613388, -73.996035 40.613336, -73.996598 40.612781, -73.997171 40.612215, -73.997739 40.611649, -73.998313 40.611084))",963332.0,53784.0
36047026400,026400,"POLYGON((-74.000911 40.612388, -74.000739 40.612555, -74.000159 40.613111, -73.99958 40.613669, -73.997171 40.612215, -73.996598 40.612781, -73.996035 40.613336, -73.995983 40.613388, -73.99537 40.613996, -73.994797 40.614562, -73.994223 40.615131, -73.993651 40.615694, -73.996002 40.617112, -73.996582 40.616555, -73.997166 40.615995, -73.999488 40.617405, -73.999709 40.616621, -73.999944 40.615782, -74.000192 40.614951, -74.000398 40.614166, -74.000627 40.613394, -74.000842 40.612616, -74.000911 40.612388))",963332.0,49813.0
36047026800,026800,"POLYGON((-73.994597 40.611571, -73.992394 40.610241, -73.990193 40.608911, -73.987965 40.607566, -73.987449 40.608059, -73.987378 40.608128, -73.987339 40.608168, -73.986713 40.608767, -73.986129 40.60933, -73.988358 40.610675, -73.990559 40.612004, -73.99276 40.613334, -73.993343 40.612772, -73.993968 40.612173, -73.994179 40.61197, -73.994597 40.611571))",963332.0,43444.0
